Penyebab,Kondisi,Versi Android,Garansi,Keluhan,Masalah
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Pembaruan,Hidup,Tiramisu (13),Ya,Lainnya,Ringan
Pembaruan,Hidup,Tiramisu (13),Ya,Lainnya,Berat
Pembaruan,Hidup,Tiramisu (13),Ya,Kendala Aplikasi,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Pembaruan,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Berat
Unduh Aplikasi,Hanya Logo,Red Velvet (11),Tidak,Perangkat Hang,Berat
Memori Penuh,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Ringan
Lainnya,Hanya Logo,Snow Cone (12),Ya,Lainnya,Ringan
Unduh Aplikasi,Hanya Logo,Snow Cone (12),Tidak,Perangkat Hang,Ringan
Memori Penuh,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Ringan
Memori Penuh,Hanya Logo,Red Velvet (11),Tidak,Performa Lambat,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Ringan
Unduh Aplikasi,Hanya Logo,Red Velvet (11),Tidak,Perangkat Hang,Berat
Pembaruan,Hidup,Snow Cone (12),Ya,Performa Lambat,Berat
Lainnya,Hidup,Snow Cone (12),Ya,Perangkat Hang,Ringan
Memori Penuh,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Ringan
Memori Penuh,Hanya Logo,Red Velvet (11),Tidak,Performa Lambat,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Ringan
Unduh Aplikasi,Hanya Logo,Red Velvet (11),Tidak,Perangkat Hang,Berat
Pembaruan,Hidup,Snow Cone (12),Ya,Performa Lambat,Berat
Lainnya,Hidup,Snow Cone (12),Ya,Perangkat Hang,Ringan
Lainnya,Hidup,Snow Cone (12),Ya,Kendala Aplikasi,Ringan
Unduh Aplikasi,Hanya Logo,Snow Cone (12),Ya,Perangkat Hang,Ringan
Pembaruan,Hidup,Tiramisu (13),Ya,Performa Lambat,Ringan
Memori Penuh,Hidup,Snow Cone (12),Ya,Lainnya,Ringan
Lainnya,Hidup,Red Velvet (11),Tidak,Lainnya,Berat
Lainnya,Hidup,Red Velvet (11),Tidak,Lainnya,Berat
Lainnya,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Memori Penuh,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Lainnya,Berat
Memori Penuh,Hidup,Snow Cone (12),Ya,Lainnya,Ringan
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Lainnya,Berat
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Perangkat Hang,Berat
Memori Penuh,Hidup,Red Velvet (11),Tidak,Lainnya,Ringan
Pembaruan,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Lainnya,Berat
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Pembaruan,Hidup,Tiramisu (13),Ya,Lainnya,Ringan
Pembaruan,Hidup,Tiramisu (13),Ya,Lainnya,Berat
Pembaruan,Hidup,Tiramisu (13),Ya,Lainnya,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Berat
Pembaruan,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Ringan
Memori Penuh,Hidup,Red Velvet (11),Tidak,Lainnya,Berat
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Perangkat Hang,Berat
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Perangkat Hang,Ringan
Lainnya,Hidup,Snow Cone (12),Ya,Performa Lambat,Ringan
Unduh Aplikasi,Hanya Logo,Red Velvet (11),Tidak,Performa Lambat,Ringan
Lainnya,Hidup,Snow Cone (12),Ya,Performa Lambat,Ringan
Pembaruan,Hidup,Tiramisu (13),Ya,Perangkat Hang,Ringan
Memori Penuh,Hidup,Snow Cone (12),Ya,Kendala Aplikasi,Ringan
Lainnya,Hidup,Red Velvet (11),Tidak,Lainnya,Berat
Lainnya,Hidup,Red Velvet (11),Tidak,Lainnya,Berat
Lainnya,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Memori Penuh,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Lainnya,Berat
Memori Penuh,Hidup,Snow Cone (12),Ya,Lainnya,Ringan
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Lainnya,Berat
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Perangkat Hang,Berat
Memori Penuh,Hidup,Red Velvet (11),Tidak,Lainnya,Ringan
Pembaruan,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Lainnya,Berat
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Pembaruan,Hidup,Tiramisu (13),Ya,Lainnya,Ringan
Pembaruan,Hidup,Tiramisu (13),Ya,Lainnya,Berat
Pembaruan,Hidup,Tiramisu (13),Ya,Lainnya,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Pembaruan,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Berat
Unduh Aplikasi,Hanya Logo,Red Velvet (11),Tidak,Perangkat Hang,Berat
Memori Penuh,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Ringan
Lainnya,Hanya Logo,Snow Cone (12),Ya,Lainnya,Ringan
Unduh Aplikasi,Hanya Logo,Snow Cone (12),Tidak,Perangkat Hang,Ringan
Memori Penuh,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Ringan
Memori Penuh,Hanya Logo,Red Velvet (11),Tidak,Performa Lambat,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Ringan
Unduh Aplikasi,Hanya Logo,Red Velvet (11),Tidak,Perangkat Hang,Berat
Pembaruan,Hidup,Snow Cone (12),Ya,Performa Lambat,Berat
Lainnya,Hidup,Snow Cone (12),Ya,Perangkat Hang,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Pembaruan,Hidup,Tiramisu (13),Ya,Lainnya,Ringan
Lainnya,Hidup,Red Velvet (11),Tidak,Lainnya,Berat
Lainnya,Hidup,Red Velvet (11),Tidak,Lainnya,Berat
Lainnya,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Memori Penuh,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Lainnya,Berat
Memori Penuh,Hidup,Snow Cone (12),Ya,Lainnya,Ringan
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Lainnya,Berat
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Perangkat Hang,Berat
Memori Penuh,Hidup,Red Velvet (11),Tidak,Lainnya,Ringan
Pembaruan,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Lainnya,Berat
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Pembaruan,Hidup,Tiramisu (13),Ya,Lainnya,Ringan
Pembaruan,Hidup,Tiramisu (13),Ya,Lainnya,Berat
Pembaruan,Hidup,Tiramisu (13),Ya,Lainnya,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Pembaruan,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Berat
Memori Penuh,Hidup,Snow Cone (12),Ya,Kendala Aplikasi,Berat
Pembaruan,Hidup,Snow Cone (12),Ya,Performa Lambat,Berat
Lainnya,Hidup,Red Velvet (11),Tidak,Perangkat Hang,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Pembaruan,Hidup,Tiramisu (13),Ya,Lainnya,Ringan
Lainnya,Hidup,Red Velvet (11),Tidak,Lainnya,Berat
Lainnya,Hidup,Red Velvet (11),Tidak,Lainnya,Berat
Lainnya,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Memori Penuh,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Lainnya,Berat
Memori Penuh,Hidup,Snow Cone (12),Ya,Lainnya,Ringan
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Lainnya,Berat
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Perangkat Hang,Berat
Memori Penuh,Hidup,Red Velvet (11),Tidak,Lainnya,Ringan
Pembaruan,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Lainnya,Berat
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Pembaruan,Hidup,Tiramisu (13),Ya,Lainnya,Ringan
Pembaruan,Hidup,Tiramisu (13),Ya,Lainnya,Berat
Pembaruan,Hidup,Tiramisu (13),Ya,Lainnya,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Pembaruan,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Berat
Unduh Aplikasi,Hanya Logo,Red Velvet (11),Tidak,Perangkat Hang,Berat
Memori Penuh,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Ringan
Lainnya,Hanya Logo,Snow Cone (12),Ya,Lainnya,Ringan
Unduh Aplikasi,Hanya Logo,Snow Cone (12),Tidak,Perangkat Hang,Ringan
Memori Penuh,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Ringan
Memori Penuh,Hanya Logo,Red Velvet (11),Tidak,Performa Lambat,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Ringan
Unduh Aplikasi,Hanya Logo,Red Velvet (11),Tidak,Perangkat Hang,Berat
Pembaruan,Hidup,Snow Cone (12),Ya,Performa Lambat,Berat
Lainnya,Hidup,Snow Cone (12),Ya,Perangkat Hang,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Pembaruan,Hidup,Tiramisu (13),Ya,Lainnya,Ringan
Lainnya,Hidup,Red Velvet (11),Tidak,Lainnya,Berat
Lainnya,Hidup,Red Velvet (11),Tidak,Lainnya,Berat
Lainnya,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Memori Penuh,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Lainnya,Berat
Memori Penuh,Hidup,Snow Cone (12),Ya,Lainnya,Ringan
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Lainnya,Berat
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Perangkat Hang,Berat
Memori Penuh,Hidup,Red Velvet (11),Tidak,Lainnya,Ringan
Pembaruan,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Lainnya,Hanya Logo,Red Velvet (11),Tidak,Lainnya,Berat
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Pembaruan,Hidup,Tiramisu (13),Ya,Lainnya,Ringan
Pembaruan,Hidup,Tiramisu (13),Ya,Lainnya,Berat
Pembaruan,Hidup,Tiramisu (13),Ya,Lainnya,Ringan
Unduh Aplikasi,Hidup,Red Velvet (11),Tidak,Kendala Aplikasi,Ringan
Pembaruan,Hidup,Red Velvet (11),Tidak,Peningkatan Perangkat Lunak,Berat
